id,title,description,categories,tags,image,price,weight,pieces,label,my_order,created_at,updated_at
125,Мілано 50 см,"Тісто, соус, моцарелла, бекон, салямі, шампіньйони, корнішони, трави.",8,,з_салямі_та_беконом.jpg,220.0,1000,8,,132,2018-04-10 22:05:03,2018-10-23 22:24:56
126,З  тунцем 50 см,"Тісто, моцарелла, вершки, корнішони, тунець, цибуля кримська, лимон, трави.",8,4,з_тунцем_arv11pl.jpg,309.0,900,8,,133,2018-04-10 22:06:42,2018-06-10 14:18:17
127,З шинкою та беконом 50 см,"Тісто, соус, моцарелла, бекон, шинка, цибуля кримська, трави.",8,,з_шинкою_та_беконом_OwbhBPy.jpg,210.0,1000,8,,134,2018-04-10 22:08:21,2018-10-23 22:12:00
128,Неаполітана 50 см,"Тісто, соус, моцарелла, ковбаски баварські, салямі, помідор, оливки, трави.",8,,неаполітана_U3lKrKI.jpg,225.0,1000,8,,135,2018-04-10 22:09:50,2018-10-23 22:20:25
129,Маргарита 50 см,"Тісто, соус, моцарелла, помідор, трави, пармезан.",8,,маргарита.jpg,169.0,1000,8,,136,2018-04-10 22:10:58,2018-06-10 14:21:22
130,Салямі 50 см,"Тісто, соус,моцарелла, салямі, цибуля зелена, трави.",8,,салямі_vLnHtQW.jpg,220.0,950,8,,137,2018-04-10 22:12:03,2018-10-23 22:26:33
131,Монтанара 50 см,"Тісто, соус, моцарелла, шинка, помідор, маслини, кукурудза, трави.",8,,монтанара_lVWZbdk.jpg,210.0,1000,8,,138,2018-04-10 22:14:44,2018-10-23 22:15:45
132,Якудза 50 см,"Тісто, соус,  моцарелла,  чорізо,  перець болгарський, перець чілі, цибуля кримська, трави.","8,11",,якудза.jpg,220.0,1000,8,1,139,2018-04-10 22:16:35,2018-10-23 22:27:19
133,Ріва коста 32 см,"Тісто, моцарелла, вершки, вугор, креветки, цибуля порей, лимон , трави.",7,2,ріва_коста_rzeBOIp.jpg,239.0,550,8,,140,2018-04-10 22:22:20,2018-06-10 13:57:07
134,Маргарита 32 см,"Тісто, соус,  моцарелла, помідор,  трави, пармезан.",7,,маргарита_bFICtBv.jpg,99.0,600,8,,141,2018-04-10 22:24:24,2018-06-10 13:43:56
135,Якудза 32 см,"Тісто, соус, моцарелла, чорізо, перець болгарський, перець чілі, цибуля кримська, трави.",7,,якудза_mU3dhvg.jpg,119.0,600,8,1,142,2018-04-10 22:26:08,2018-06-10 13:51:30
136,Кока кола,"Coca Cola 0,5",10,,кока_кола.jpg,18.0,500,0,,143,2018-04-11 21:39:16,2018-06-06 20:38:29
137,Фанта,"Fanta 0,5",10,,фанта.jpg,18.0,500,0,,144,2018-04-11 21:40:30,2018-06-06 20:38:29
